船 长 	captain
尤 达 永 远 与 你 同 在 	yoda will always be with you
欧 比 旺 	obi-wan
你 为 什 么 不 告 诉 我 ？	why did n't you tell me ?
你 对 我 说 维 德 背 叛 和 谋 杀 了 我 的 父 亲 	you told me vader betrayed and murdered my father
你 的 父 亲 被 " 原 力 " 的 黑 暗 面 所 吸 引 	your father was seduced by the dark side of the force
然 后 他 就 不 再 是 天 行 者 安 纳 金 ， 而 变 成 了 达 斯 维 德 当 此 事 发 生 之 时 ...	he ceased to be anakin skywalker and became darth vader
那 个 曾 经 是 好 人 的 你 的 父 亲 就 被 毁 灭 了 	when that happened ... the good man who was your father was destroyed
所 以 从 某 种 角 度 来 说 我 告 诉 你 的 是 事 实 	so what i told you was true ... from a certain point of view
某 种 角 度 ？	a certain point of view ?
卢 克 ， 你 将 会 发 现 ， 我 们 坚 信 的 很 多 事 实 极 大 程 度 上 都 源 于 我 们 自 己 看 问 题 的 角 度 	luke , you 're going to find that many of the truths we cling to ... depend greatly on our own point of view
安 纳 金 是 一 个 好 朋 友 	anakin was a good friend
当 我 第 一 次 见 到 他 时 ... 你 父 亲 已 经 是 一 个 伟 大 的 飞 行 员 ... 但 我 对 于 他 身 上 的 " 原 力 " 那 么 强 大 无 比 惊 讶 	when i first knew him ... your father was already a great pilot ... but i was amazed how strongly the force was with him
于 是 我 亲 自 把 他 训 练 成 为 一 名 绝 地 武 士 	i took it upon myself to train him as a jedi
我 以 为 我 可 以 把 他 教 导 的 如 同 尤 达 一 样 好 	i thought that i could instruct him just as well as yoda . i was wrong
他 身 上 还 有 善 良 存 在 	there is still good in him
他 现 在 更 多 的 是 一 部 机 器 ， 而 不 是 人 他 扭 曲 而 邪 恶 	he 's more machine now than man ... twisted and evil
我 办 不 到 ， 本 	i ca n't do it , ben
你 不 能 逃 避 你 自 己 的 命 运 	you cannot escape your destiny
你 一 定 要 再 次 面 对 达 斯 维 德 	you must face darth vader again
我 不 能 杀 掉 自 己 的 亲 生 父 亲 	i ca n't kill my own father
那 皇 帝 已 经 赢 了 	then the emperor has already won
你 是 我 们 唯 一 的 希 望 了 	you were our only hope
尤 达 提 到 了 另 外 一 个 	yoda spoke of another
他 提 到 的 另 外 一 个 是 你 的 孪 生 姐 妹 	the other he spoke of is your twin sister
但 是 我 没 有 姐 妹 	but i have no sister
为 了 保 护 你 们 不 受 皇 帝 的 迫 害 你 们 一 出 生 ， 就 瞒 住 了 你 父 亲 	to protect you both from the emperor ... you were hidden from your father when you were born
如 同 我 一 样 ， 皇 帝 也 知 道 如 果 安 纳 金 有 任 何 后 代 他 们 将 成 为 对 他 的 威 胁 	the emperor knew , as i did ... if anakin were to have any offspring ... they would be a threat to him
这 就 是 为 什 么 你 的 姐 妹 要 安 全 的 匿 名 生 活 	that is the reason why your sister remains safely anonymous
莉 娅 是 我 的 姐 妹 	leia is my sister . -- your insight serves you well
把 你 的 感 情 埋 在 心 底 吧 ， 卢 克 	bury your feelings deep down , luke
它 们 会 为 你 服 务 但 是 它 们 也 会 为 帝 国 皇 帝 所 利 用 	they do you credit ... but they could be made to serve the emperor
看 看 你 啊 ， 成 了 将 军 了 ， 啊 ？	look at you . a general , huh ?
肯 定 有 人 告 诉 他 们 我 在 塔 纳 战 役 中 的 杰 出 表 现 了 	someone must have told them about my manoeuvre at the battle of tanaab
别 看 我 啊 ， 朋 友 ， 我 只 是 和 他 们 说 你 是 个 不 错 的 飞 行 员 而 已 	do n't look at me , pal . i just said you were a fair pilot
我 不 知 道 他 们 是 要 找 人 来 指 挥 这 个 疯 狂 攻 击 的 	i did n't know they were looking for somebody to lead this crazy attack
我 只 是 很 奇 怪 他 们 没 有 让 你 来 做 这 事 	i 'm surprised they did n't ask you to do it
谁 说 他 们 没 有 ， 只 是 我 没 有 那 么 疯 狂 而 已 	who says they did n't ? but i ai n't crazy
你 可 是 名 人 啊 ， 记 得 吗 ？	you 're the respectable one , remember ?
皇 帝 犯 了 一 个 重 大 错 误 ， 现 在 轮 到 我 们 攻 击 了 	the emperor 's made a critical error and the time for our attack has come
伯 森 间 谍 们 给 我 提 供 的 数 据 标 明 了 ... 帝 国 新 战 斗 基 地 的 准 确 位 置 	the data brought to us by the bothan spies pinpoint the exact location ... of the emperor 's new battle station
我 们 同 时 得 知 死 星 上 的 ... 武 器 系 统 还 不 能 正 常 工 作 	we also know that the weapon systems ... of this death star are not yet operational
而 整 个 帝 国 舰 队 散 布 于 银 河 之 中 徒 劳 的 寻 找 我 们 因 此 它 现 在 基 本 上 是 不 设 防 的 	with the imperial fleet spread throughout the galaxy ... in a vain effort to engage us ... it is relatively unprotected
而 最 关 键 的 是 ... 我 们 得 知 皇 帝 本 人 ... 现 在 正 在 亲 自 视 察 ...	but most important of all ... we 've learned that the emperor himself ... is personally overseeing the final stages ... of the construction of this death star
为 了 给 我 们 提 供 这 个 消 息 ， 很 多 伯 森 人 牺 牲 了 	many bothans died to bring us this information
阿 克 巴 司 令 ， 请 	admiral ackbar , please
你 们 这 里 看 到 的 就 是 死 星 围 绕 恩 多 星 的 布 满 森 林 的 卫 星 旋 转 	you can see here the death star orbiting the forest moon of endor
尽 管 死 星 上 的 武 器 系 统 还 不 能 正 常 工 作 死 星 本 身 还 是 有 很 强 的 防 御 机 制 	although the weapon systems on this death star are not yet operational ... the death star does have a strong defence mechanism
它 被 一 层 能 量 盾 保 护 着 而 这 个 能 量 盾 是 在 恩 多 的 那 颗 卫 星 上 产 生 的 	it is protected by an energy shield ... which is generated from the nearby forest moon of endor
在 我 们 尝 试 任 何 攻 击 之 前 ， 护 盾 必 须 要 被 解 除 	the shield must be deactivated if any attack is to be attempted
一 旦 护 盾 被 解 除 ， 我 们 的 巡 洋 舰 将 建 立 一 道 环 行 防 线 ... 而 战 斗 机 将 飞 进 这 个 超 级 建 筑 试 图 摧 毁 主 反 应 堆 	once the shield is down , our cruisers will create a perimeter ... while the fighters fly into the superstructure ... and attempt to knock out the main reactor
卡 尔 瑞 辛 将 军 自 愿 指 挥 战 斗 机 的 攻 击 	general calrissian has volunteered to lead the fighter attack
祝 好 运 	good luck
你 会 需 要 好 运 的 	you 're gonna need it
麦 迪 恩 将 军 	general madine
我 们 偷 了 一 艘 帝 国 的 小 型 飞 船 	we have stolen a small imperial shuttle
把 它 假 扮 成 一 艘 运 输 船 ， 然 后 使 用 一 个 秘 密 的 帝 国 密 码 ... 我 们 可 以 把 一 队 攻 击 部 队 运 到 卫 星 上 去 解 除 护 盾 的 发 生 器 听 起 来 很 危 险 	disguised as a cargo ship and using a secret imperial code ... a strike team will land on the moon and deactivate the shield generator
我 在 猜 他 们 会 找 谁 接 这 个 苦 活 	sounds dangerous . wonder who they found to pull that off
索 罗 将 军 ， 你 的 攻 击 部 队 召 集 完 毕 了 吗 ？	general solo , is your strike team assembled ?
我 的 队 伍 做 好 准 备 了 ， 但 是 我 缺 乏 飞 船 的 指 挥 人 员 	my team 's ready . i do n't have a command crew for the shuttle
这 会 很 难 的 ， 我 不 想 提 起 你 	it 's gonna be rough . i did n't wanna speak for you
好 吧 ， 你 算 一 个 	that 's one
将 军 ， 算 我 一 个 	general , count me in
我 也 去 	i 'm with you too
怎 么 了 ？	what is it ?
以 后 再 问 我 	ask me again sometime
卢 克 - 嗨 ， 汉 ， 楚 伊 	hi , han , chewie
" 振 奋 人 心 " 这 样 的 词 也 无 法 表 达 此 情 此 景 	" exciting " is hardly the word i would choose
听 着 ， 我 希 望 你 乘 她 去 	look , i want you to take her
我 是 说 真 的 ， 乘 她 去 	i mean it
你 会 拥 有 的 所 需 的 一 切 	take her . you need all the help you can get
她 可 是 舰 队 里 面 最 快 的 飞 船 	she 's the fastest ship in the fleet
好 啦 ， 老 朋 友 	all right , old buddy
我 知 道 她 对 你 意 味 着 什 么 	i know what she means to you
我 会 好 好 照 顾 她 的 ， 她 连 个 划 痕 都 不 会 有 	i 'll take good care of her . she wo n't get a scratch
怎 么 样 ？	all right ?
好 吧 	right
你 可 是 向 我 保 证 了 ， 一 个 划 痕 都 不 会 有 	i got your promise . not a scratch
你 可 以 出 发 了 吧 ， 海 盗 先 生 ？	would you get going , you pirate ?
祝 好 运 	good luck
你 也 一 样 	you too
预 热 了 吗 ？ - 是 的 ， 她 做 好 准 备 了 	got her warmed ?
我 估 计 帝 国 设 计 她 的 时 候 没 考 虑 到 会 有 伍 基 人 会 乘 坐 的 ， 楚 伊 	i do n't think the empire had wookiees in mind when they designed her , chewie
嘿 ， 你 清 醒 着 吗 ？	hey , you awake ?
是 的 ， 我 只 是 有 种 很 奇 怪 的 感 觉 ， 好 像 我 再 也 见 不 到 她 了 	yeah . i just got a funny feeling , like i 'm not gonna see her again
来 吧 ， 将 军 ， 我 们 开 始 吧 	come on , general . let 's move
好 的 ， 楚 伊 ， 让 我 们 看 看 这 堆 垃 圾 能 干 什 么 	right . chewie , let 's see what this piece of junk can do
大 家 都 准 备 好 了 吗 ？ - 都 好 了 	ready , everybody ?
那 我 们 又 上 路 了 	here we go again
好 了 ， 坚 持 住 	all right , hang on
请 问 圣 意 如 何 ？	what is thy bidding , my master ?
派 遣 舰 队 去 恩 多 星 系 的 远 端 	send the fleet to the far side of endor
让 他 们 在 那 里 待 命 	there it will stay until called for
那 对 于 反 叛 军 在 索 拉 斯 特 星 系 附 近 大 规 模 活 动 的 报 告 怎 么 处 理 ？	what of the reports of the rebel fleet massing near sullust ?
这 无 关 紧 要 	it is of no concern
很 快 反 叛 军 就 会 被 扑 灭 ， 而 年 轻 的 天 行 者 会 成 为 我 们 之 中 的 一 员 	soon the rebellion will be crushed and young skywalker will be one of us
你 在 这 里 的 任 务 已 经 完 成 了 ， 我 的 朋 友 	your work here is finished , my friend
去 指 挥 舰 上 等 待 我 的 命 令 	go out to the command ship and await my orders
遵 命 ， 我 的 主 人 	yes , my master
要 是 这 招 不 灵 ， 我 们 得 赶 快 跑 路 	if they do n't go for this , we 're gonna have to get out pretty quick
贵 机 已 经 出 现 在 我 们 的 屏 幕 上 了 ， 请 证 实 你 们 的 身 份 	we have you on our screen now . please identify
泰 德 瑞 姆 号 小 型 飞 船 请 求 解 除 偏 导 护 盾 	shuttle tydirium requesting deactivation of the deflector shield
泰 德 瑞 姆 号 ， 请 发 送 解 除 护 盾 的 通 行 密 码 	shuttle tydirium , transmit the clearance code for shield passage
正 在 发 送 中 	transmission commencing
现 在 我 们 就 会 知 道 这 密 码 值 不 值 得 我 们 付 出 那 么 大 代 价 了 	now we find out if that code is worth the price we paid
会 有 效 的 	it'll work . it'll work
维 德 在 那 艘 船 上 	vader 's on that ship
卢 克 ， 别 那 么 神 经 过 敏 	do n't get jittery , luke
有 好 多 指 挥 船 呢 	there are a lot of command ships
保 持 距 离 ， 楚 伊 ， 但 是 别 让 他 们 发 现 你 在 保 持 距 离 	keep your distance , chewie , but do n't look like you 're keeping your distance
我 怎 么 知 道 怎 么 办 ， 就 正 常 飞 好 啦 	i do n't know . fly casual
这 艘 飞 船 要 去 哪 里 ？	where is that shuttle going ?
泰 德 瑞 姆 号 ， 你 上 面 装 了 什 么 ， 你 的 目 的 地 是 哪 里 ？	shuttle tydirium , what is your cargo and destination ?
森 林 卫 星 需 要 的 零 件 和 技 术 人 员 	parts and technical crew for the forest moon
他 们 有 通 行 密 码 吗 ？	do they have a code clearance ?
是 个 老 密 码 了 ， 长 官 ， 不 过 是 对 的 	it 's an older code , sir , but it checks out
我 准 备 让 他 们 通 过 	i was about to clear them
我 不 该 来 的 ， 我 来 了 会 让 这 个 任 务 更 难 完 成 	i 'm endangering the mission . i should n't have come
这 只 是 你 的 想 像 而 已 ， 孩 子 	it 's your imagination , kid
怎 么 回 事 啊 ， 让 我 们 乐 观 点 不 好 吗 ！	come on . let 's keep a little optimism here
要 我 抓 住 他 们 吗 ？	shall i hold them ?
不 ， 让 他 们 来 吧 	leave them to me
我 会 亲 自 处 理 他 们 	i will deal with them myself
如 您 所 愿 ， 大 人 ， 继 续 吧 	as you wish , my lord . carry on
他 们 放 我 们 过 去 了 ， 楚 伊 	they 're not going for it , chewie
泰 德 瑞 姆 号 护 盾 马 上 就 会 解 除 	shuttle tydirium ... deactivation of the shield will commence immediately
保 持 你 们 的 航 线 	follow your present course
看 ， 我 告 诉 你 们 会 成 功 的 吧 	okay . i told you it was gonna work
什 么 问 题 都 没 有 	no problem
我 告 诉 你 们 这 里 很 危 险 吧 	i told you it was dangerous here
要 不 我 们 绕 一 下 路 怎 么 样 ？	should we try and go around ?
太 花 时 间 了 	it'll take time
要 是 让 他 们 看 到 我 们 ， 我 们 整 队 人 就 白 来 一 趟 了 	this whole party will be for nothing if they see us
楚 伊 和 我 会 处 理 这 问 题 的 ， 你 待 这 里 别 动 	chewie and i will take care of this . you stay here . quietly
要 安 静 点 ， 那 边 可 能 有 更 多 敌 人 	there might be more of them out there
嘿 ... 连 我 都 不 相 信 吗 	hey ... it 's me
去 叫 支 援 ！ 快 去 ！	go for help !
太 棒 了 ， 上 啊 ！	go ! great . come on !
那 边 ！	over there !
还 有 两 个 敌 人 	two more of them
我 看 到 他 们 了 ， 等 着 ， 莉 娅 ！	i see them . wait
嘿 ， 等 等 ！	hey , wait !
快 ， 阻 塞 他 们 的 通 讯 频 道 ， 用 中 间 那 个 开 关 	quick , jam their comlink
靠 近 点 	move closer
到 他 侧 面 去 贴 住 他 	get alongside that one
你 继 续 追 这 个 家 伙 ， 我 去 对 付 那 两 个 	keep on that one . i 'll take these two
索 罗 将 军 ， 有 人 来 了 	general solo , somebody 's coming
莉 娅 在 哪 ？	where 's leia ?
她 还 没 回 来 ？	she did n't come back ?
我 还 以 为 她 和 你 在 一 起 呢 	i thought she was with you
我 们 分 开 了 ， 我 们 最 好 去 找 找 她 	we got separated . we better go look for her
你 带 小 队 继 续 前 进 ， 我 们 三 点 整 在 护 盾 发 生 器 旁 边 会 合 	take the squad ahead . we 'll meet at the shield generator at 0300
快 点 ， R2 ， 我 们 需 要 你 的 扫 描 器 	come on , r2 . we 'll need your scanners
别 担 心 ， 卢 克 主 人 ， 我 们 知 道 该 怎 么 办 	do n't worry , master luke . we know what to do
你 还 说 这 里 很 美 	and you said it was pretty here
别 再 碰 我 了 	cut it out
我 不 会 伤 害 你 的 	i 'm not gonna hurt you
看 来 我 是 困 在 这 里 了 	well , looks like i 'm stuck here
糟 糕 的 是 ， 我 都 不 知 道 这 是 哪 里 	trouble is , i do n't know where here is
也 许 你 可 以 帮 我 	maybe you can help me
来 吧 ， 坐 这 里 	come on . sit down
我 保 证 我 决 不 伤 害 你 ， 快 过 来 啊 	i promise i wo n't hurt you . now come here
好 吧 ， 想 吃 点 什 么 吗 ？	all right . you want something to eat ?
乖 	that 's right
来 啊 	come on
看 ， 只 是 顶 头 盔 	look . it 's a hat
不 会 弄 伤 你 的 ， 来 看 看 啊 	it 's not gonna hurt you . look
你 这 个 小 家 伙 神 经 真 过 敏 啊 ， 是 吧 ？	you 're a jittery little thing , are n't you ?
是 什 么 ？	what is it ?
别 动 	freeze !
快 点 ， 起 来 	come on . get up
去 拿 你 的 车 ， 把 她 带 回 基 地 	get your ride . take her back to base
遵 命 	yes , sir
怎 么 ...	what the --
快 ， 我 们 离 开 这 里 	come on
我 告 诉 过 你 ， 让 你 待 在 指 挥 船 上 	i told you to remain on the command ship
一 小 队 反 抗 军 穿 过 了 护 盾 ， 在 恩 多 着 陆 了 	a small rebel force has penetrated the shield and landed on endor
是 啊 ， 我 知 道 	yes , i know
我 儿 子 和 他 们 在 一 起 	my son is with them
你 肯 定 吗 ？	are you sure ?
我 已 经 感 觉 到 他 了 ， 我 的 主 人 	i have felt him , my master
真 奇 怪 ， 我 还 没 有 感 觉 到 	strange that i have not
你 对 此 事 的 感 觉 清 楚 无 误 吗 ， 维 德 勋 爵 	i wonder if your feelings on this matter are clear , lord vader
很 清 楚 ， 我 的 主 人 	they are clear , my master
那 你 就 要 去 那 颗 守 护 卫 星 等 他 	then you must go to the sanctuary moon and wait for him
他 会 来 找 我 吗 ？	he will come to me ?
是 的 ， 我 已 经 预 见 到 了 	i have foreseen it
他 对 你 的 同 情 心 会 让 他 万 劫 不 复 	his compassion for you will be his undoing
他 会 找 到 你 ， 然 后 你 要 带 他 来 见 我 	he will come to you , and then you will bring him before me
谨 遵 圣 意 	as you wish
卢 克 主 人 	master luke
那 边 还 有 两 台 毁 掉 的 飞 车 	there 's two more wrecked speeders back there
而 且 我 还 找 到 了 这 个 	and i found this
恐 怕 R2 的 传 感 器 找 不 到 任 何 莉 娅 公 主 的 踪 迹 	i 'm afraid that r2 's sensors can find no trace of princess leia
我 希 望 她 一 切 平 安 	i hope she 's all right
什 么 事 ， 楚 伊 ？	what , chewie ?
什 么 事 ， 楚 伊 ？	what , chewie ?
我 不 懂 ， 不 过 是 只 死 兽 而 已 ， 有 什 么 好 看 的 	i do n't get it . it 's just a dead animal
楚 伊 ， 等 下 ， 别 碰 ！	chewie , wait ! do n't !
干 的 漂 亮 	nice work
干 的 真 棒 ， 楚 伊 	great , chewie . great
太 漂 亮 了 ， 你 总 是 用 胃 来 思 考 的 吗 ？	always thinking with your stomach . take it easy
别 抱 怨 了 ， 我 们 还 是 来 想 想 怎 么 出 去 吧 	let 's just figure a way to get out of this thing
汉 ， 你 能 够 碰 到 我 的 光 剑 吗 ？	han , can you reach my lightsaber ? yeah
当 然 可 以 	sure
R2 ， 我 不 知 道 这 是 不 是 个 好 主 意 	r2 , i 'm not sure that 's such a good idea
从 这 么 高 掉 下 去 ！	it 's a very long drop !
嘿 ， 别 用 那 玩 意 指 着 我 	hey
嘿 ！	hey !
汉 ， 别 这 样 ， 没 事 的 	han , do n't . it'll be all right
楚 伊 ， 把 你 的 弩 给 他 们 	chewie , give them your crossbow
哦 ， 我 的 头 	oh , my head
哦 ， 天 啊 	oh , my goodness
你 懂 得 他 们 在 说 什 么 吗 ？	do you understand anything they 're saying ?
哦 ， 是 的 ， 卢 克 主 人 	oh , yes , master luke
要 知 道 我 可 是 通 晓 超 过 六 百 万 种 ...	remember that i am fluent in over six million forms --
你 对 他 们 说 什 么 了 ？	what are you telling them ?
我 觉 得 我 说 的 是 " 你 好 "	" hello , " i think
不 过 我 也 可 能 搞 错 了 ... 他 们 用 的 是 一 种 很 原 始 的 语 言 ... 但 是 我 相 信 他 们 认 为 我 是 什 么 神 	i could be mistaken -- they 're using a very primitive dialect -- but i do believe they think i am some sort of god
那 你 干 嘛 不 对 他 们 显 示 点 神 力 ， 让 我 们 离 开 这 里 呢 ？	why do n't you use your divine influence and get us out of this ?
对 不 起 ， 索 罗 将 军 ， 但 是 这 样 做 是 不 合 适 的 	i beg your pardon , general solo , but that just would n't be proper
合 适 ？	proper ?
我 的 程 序 不 允 许 我 假 装 成 神 祉 	it 's against my programming to impersonate a deity
为 什 么 ， 你 ...	why , you --
我 的 错 ， 请 原 谅 	my mistake
他 是 我 的 老 朋 友 了 	he 's an old friend of mine
嘿 	hey
我 对 此 感 觉 很 不 好 	i have a really bad feeling about this
他 说 什 么 ？	what did he say ?
这 么 说 真 让 我 尴 尬 ， 索 罗 将 军 ... 但 是 看 起 来 你 好 像 是 为 我 举 办 宴 会 的 主 菜 	i 'm rather embarrassed , general solo ... but it appears you are to be the main course at a banquet in my honour
殿 下 	your royal highness
这 些 人 是 我 的 朋 友 	these are my friends
3PO ， 告 诉 他 们 必 须 要 释 放 他 们 	3po , tell them they must be set free
不 知 怎 么 我 感 觉 这 好 像 没 起 什 么 作 用 	somehow i got the feeling that did n't help us very much
3PO ， 告 诉 他 们 如 果 他 们 不 按 你 说 的 做 ... 你 会 非 常 生 气 ， 并 且 会 使 用 你 的 神 力 	3po , tell them if they do n't do as you wish ... you 'll become angry and use your magic
但 是 ， 卢 克 主 人 ， 什 么 神 力 ？	but , master luke , what magic ?
我 根 本 就 不 会 什 么 ...	i could n't possibly --
就 这 么 对 他 们 说 	just tell them
你 看 到 没 ， 卢 克 主 人 ？	you see , master luke ?
他 们 不 相 信 我 ... 就 如 同 我 说 的 一 样 	they did n't believe me ... just as i said they would n't
等 等 	wait
怎 么 回 事 ？	what 's happening ?
放 我 下 来 ， 救 命 啊 ！	put me down !
谁 放 我 下 来 啊 ！	help !
救 命 啊 ！	somebody !
卢 克 主 人 ！	somebody help !
R2 ， 快 救 救 我 ！	master luke !
谢 天 谢 地 	thank goodness
谢 谢 你 ， 3PO	thanks , 3po
我 从 来 不 知 道 我 有 这 种 能 力 	i never knew i had it in me
... 塔 图 因 ...	... tatooine ...
莉 娅 公 主 ...	princess leia ... r2
... 达 斯 维 德 ！	... darth vader !
... 死 星 	... death star
... 绝 地 武 士 ...	... jedi ...
欧 比 旺 科 努 比 	obi-wan kenobi
好 啦 ， R2 ， 我 马 上 就 要 说 到 这 个 了 	yes , r2 , i was just coming to that
卢 克 主 人 ...	master luke millennium falcon ... cloud city
... 维 德 ！	... vader !
汉 索 罗 ... ... 碳 化 	han solo carbon
... 沙 列 克 	... sarlacc
怎 么 回 事 ？	what 's going on ?
我 不 知 道 	i do n't know
太 好 了 ， 我 们 现 在 是 部 落 的 一 份 子 了 	wonderful . we are now a part of the tribe
我 早 就 等 着 这 一 天 了 	just what i always wanted
帮 点 忙 也 比 不 帮 忙 好 啊 ， 楚 伊 	short help 's better than no help at all , chewie
侦 察 兵 们 会 告 诉 我 们 通 向 护 盾 发 生 器 最 快 的 路 在 哪 	he says the scouts will show us the quickest way to the shield generator . good
太 好 了 ， 有 多 远 ？	how far is it ?
问 他 	ask him
对 了 ， 我 们 还 需 要 些 补 给 	we need some fresh supplies too
还 有 ， 最 好 能 把 我 们 的 武 器 要 回 来 	try and get our weapons back
快 点 ， 我 们 时 间 不 多 了 	hurry up . i have n't got all day
卢 克 ， 怎 么 了 ？	luke , what 's wrong ?
莉 娅 ， 你 记 得 你 的 母 亲 吗 ？ 你 真 正 的 母 亲 ？	leia , do you remember your mother -- your real mother ?
只 记 得 一 点 了 ， 我 很 小 的 时 候 她 就 去 世 了 	just a little bit . she died when i was very young
你 还 记 得 什 么 ？	what do you remember ?
只 有 一 点 印 象 了 ， 还 有 感 觉 	just images really . feelings
告 诉 我 	tell me
她 ... 非 常 美 	she was ... very beautiful
很 善 良 ... 但 是 也 很 忧 伤 	kind ... but sad
你 干 嘛 问 我 这 个 ？	why are you asking me this ?
我 一 点 都 不 记 得 我 母 亲 了 	i have no memory of my mother
我 从 来 没 有 见 过 她 	i never knew her
卢 克 ， 告 诉 我 ， 什 么 让 你 这 么 忧 心 忡 忡 ？	luke , tell me . what 's troubling you ?
维 德 在 这 里 ， 就 是 现 在 ， 就 在 这 颗 卫 星 上 	vader is here . now . on this moon
你 怎 么 知 道 ？	how do you know ?
我 感 觉 到 他 的 存 在 了 	i felt his presence
他 来 找 我 了 ， 如 果 我 离 他 足 够 近 他 就 能 感 觉 到 	he 's come for me . he can feel when i 'm near
这 就 是 我 为 什 么 必 须 离 开 	that 's why i have to go
只 要 我 待 在 这 里 ， 我 就 会 危 害 到 整 组 人 的 安 全 ， 也 会 影 响 任 务 的 完 成 	as long as i stay , i 'm endangering the group and our mission here
我 必 须 要 面 对 他 	i have to face him . -- why ?
他 是 我 的 父 亲 	he 's my father
你 的 父 亲 ？	your father ?
还 有 其 他 的 事 ， 你 可 能 听 起 来 很 难 接 受 ， 但 是 你 必 须 要 接 受 	there 's more . it wo n't be easy for you to hear it , but you must
如 果 我 回 不 来 的 话 ， 你 就 是 同 盟 军 的 唯 一 希 望 了 	if i do n't make it back , you 're the only hope for the alliance
别 这 么 说 	do n't talk that way
我 无 法 理 解 你 的 能 力 ， 永 远 无 法 理 解 	you have a power i do n't understand and could never have
你 错 了 ， 莉 娅 	you 're wrong , leia
你 也 有 同 样 的 力 量 	you have that power too
等 时 间 到 了 ， 你 会 和 我 一 样 学 会 使 用 这 种 力 量 	in time , you 'll learn to use it as i have
" 原 力 " 在 我 的 家 族 中 都 很 强 	the force is strong in my family
我 的 父 亲 拥 有 它 	my father has it
我 拥 有 它 	i have it
还 有 ... 我 的 姐 妹 也 拥 有 它 	and ... my sister has it
是 的 ， 就 是 你 ， 莉 娅 	yes . it 's you , leia
我 知 道 	i know
不 知 道 怎 么 回 事 ...	somehow ...
我 一 直 能 体 会 到 这 些 	i 've always known
那 你 就 知 道 为 什 么 我 必 须 要 面 对 他 	then you know why i have to face him
卢 克 ， 跑 吧 ， 跑 远 远 的 	luke , run away . far away
如 果 他 能 感 觉 到 你 的 存 在 ， 就 离 开 这 个 地 方 	if he can feel your presence , then leave this place
我 多 希 望 我 能 和 你 一 起 去 啊 	i wish i could go with you . -- no , you do n't
不 ， 你 不 能 去 你 一 直 都 很 坚 强 	you 've always been strong
但 是 为 什 么 你 必 须 要 面 对 他 ？	but why must you confront him ?
因 为 他 的 心 中 还 有 善 良 ， 我 可 以 感 觉 到 	because there is good in him . i 've felt it
他 不 会 把 我 转 变 到 皇 帝 那 边 去 .	he wo n't turn me over to the emperor
相 反 的 ， 我 可 以 拯 救 他 ， 把 他 转 变 到 正 义 的 这 边 来 	i can save him . i can turn him back to the good side
我 必 须 要 试 试 	i have to try
嘿 ， 你 们 在 干 嘛 ？	hey , what 's going on ?
没 什 么 ， 我 只 是 想 单 独 待 一 会 儿 	nothing . i just wanna be alone for a little while
没 什 么 ？	nothing ?
告 诉 我 ， 怎 么 了 ？	tell me . what 's going on ?
我 不 能 告 诉 你 	i ca n't tell you
那 你 能 对 卢 克 说 ？	could you tell luke ?
你 只 能 对 他 说 吗 ？	is that who you could tell ?
对 不 起 	i 'm sorry
抱 着 我 	hold me
这 是 投 降 的 反 叛 军 	this is the rebel that surrendered
尽 管 他 否 认 ， 我 还 是 相 信 还 有 更 多 他 们 的 人 我 请 求 批 准 对 这 一 地 区 作 进 一 步 搜 索 	although he denies it , i believe there may be more of them ... and i request permission to conduct a further search of the area
他 身 上 的 武 器 只 有 这 个 	he was armed only with this
干 的 很 好 ， 指 挥 官 阁 下 	good work , commander
你 可 以 离 开 了 	leave us
进 行 搜 索 ， 把 他 的 同 伴 抓 来 	conduct your search and bring his companions to me
遵 命 ， 大 人 	yes , my lord
皇 帝 陛 下 一 直 在 等 你 	the emperor has been expecting you
我 知 道 ， 父 亲 	i know , father
就 是 说 ， 你 已 经 接 受 了 事 实 了 	so , you have accepted the truth
我 接 受 的 事 实 是 你 曾 经 是 天 行 者 安 纳 金 ， 父 亲 	i 've accepted the truth that you were once anakin skywalker , my father
那 个 名 字 对 我 已 经 没 有 任 何 意 义 了 	that name no longer has any meaning for me
那 名 字 代 表 的 才 是 真 正 的 你 ， 你 只 是 忘 了 而 已 	it is the name of your true self . you 've only forgotten
我 知 道 你 心 中 还 有 善 意 	i know there is good in you
皇 帝 没 有 从 你 心 中 全 部 夺 走 它 	the emperor has n't driven it from you fully
这 就 是 为 什 么 你 以 前 没 有 杀 害 我 	that was why you could n't destroy me
这 就 是 为 什 么 你 现 在 不 会 带 我 去 见 你 的 皇 帝 	that 's why you wo n't bring me to your emperor now
看 来 你 又 制 造 了 一 柄 新 的 光 剑 啊 	i see you have constructed a new lightsaber
你 的 技 巧 已 经 尽 善 尽 美 了 	your skills are complete
你 确 实 很 强 大 ， 如 同 皇 帝 预 见 的 一 样 	indeed you are powerful , as the emperor has foreseen
跟 我 来 	come with me
欧 比 旺 以 前 也 这 么 想 	obi-wan once thought as you do
但 是 你 不 知 道 黑 暗 的 力 量 有 多 强 	you do n't know the power of the dark side
我 必 须 服 从 我 的 主 人 	i must obey my master
我 不 会 投 入 你 的 一 方 的 ， 你 只 能 被 迫 杀 了 我 	i will not turn , and you 'll be forced to kill me
如 果 这 是 你 的 命 运 的 话 	if that is your destiny
